incidentid,age,gender,race,criminalhistory
19911002TXSPH,Adolescent,Male,unknown,unknown
19911004CADOL,unknown,unknown,unknown,unknown
19911004CAROL,unknown,unknown,unknown,unknown
19911009NYJAB,unknown,Male,unknown,unknown
19911011MAMAR,Young Adult,Male,Black,unknown
19911015NHMOS,Adolescent,Male,unknown,unknown
19911015SCWOW,Adolescent,Male,unknown,unknown
19911015TXGEP,Adolescent,Male,unknown,unknown
19911023TXOAD,Young Adult,Male,unknown,unknown
19911106LAWAN,Young Adult,Male,Black,unknown
19911111TXYSE,Young Adult,Male,unknown,unknown
19911111TXYSE,Adolescent,Male,unknown,unknown
19911111TXYSE,Young Adult,Male,unknown,unknown
19911111TXYSE,Adolescent,Male,unknown,unknown
19911114TXMIH,Adolescent,Male,unknown,unknown
19911125NYTHB,Adolescent,Male,Black,unknown
19911226NCWHW,Young Adult,Male,unknown,unknown
19920128LAFRG,Teen,Male,unknown,unknown
19920131LAFRG,Teen,Male,unknown,unknown
19920206OKDOO,Adolescent,Male,unknown,unknown
19920207VABON,unknown,Male,unknown,unknown
19920226NYTHB,Adolescent,Male,Black,unknown
19920305OHHAO,Child,Male,White,unknown
19920331LAOPA,Adolescent,Male,unknown,unknown
19920409FLFOF,Adolescent,Male,Black,unknown
19920417TXLID,unknown,unknown,unknown,unknown
19920501CALIO,Young Adult,Male,White,unknown
19920514CASIN,Adolescent,Male,unknown,unknown
19920514TXHUH,Adolescent,Male,White,unknown
19920529CAVEL,unknown,unknown,unknown,unknown
19920606CAMEM,Adolescent,Male,Asian,unknown
19920911TXPAA,Adolescent,Male,unknown,unknown
19920928CAHIS,Young Adult,Male,Asian,unknown
19920928CAHIS,Young Adult,Male,Asian,unknown
19920928CAHIS,Young Adult,Male,Asian,unknown
19920930TXHOH,Adolescent,Male,White,unknown
19921013AZDET,Young Adult,Male,White,unknown
19921019NYEVB,unknown,Male,Black,unknown
19921104MIFID,Minor,Male,Black,unknown
19921104MIFID,Young Adult,Male,Black,unknown
19921104MIFID,Young Adult,Male,Black,unknown
19921104MIMAD,unknown,unknown,unknown,unknown
19921104MIMUD,Adolescent,Male,unknown,unknown
19921104MIMUD,Adolescent,Female,unknown,unknown
19921104MIMUD,Adolescent,Female,unknown,unknown
19921110ILSHC,Adolescent,Male,unknown,unknown
19921113TXLAC,Adult,Male,unknown,unknown
19921116ALFAB,Teen,Male,unknown,unknown
